words,answer,commonness,familiar,recognized
flute,1,0.833,2.09,0.97
fluty,0,0.718,1.7,0.87
flyer,1,0.938,2.72,0.97
flype,0,0.24,0.57,0.29
foaly,0,0.152,0.37,0.18
foamy,1,0.868,2.39,0.94
focal,1,0.713,1.88,0.8
focus,1,0.987,2.98,0.98
fodda,0,0.113,0.26,0.14
foder,0,0.302,0.76,0.35
fodge,0,0.777,1.96,0.9
foehn,0,0.123,0.35,0.13
fogey,0,0.717,1.78,0.84
foggy,1,0.932,2.68,0.97
fogle,0,0.328,0.86,0.37
fogon,0,0.097,0.16,0.14
fogou,0,0.067,0.1,0.1
fogus,0,0.193,0.41,0.25
fohat,0,0.04,0.03,0.07
foist,1,0.533,1.4,0.6
foldy,0,0.242,0.64,0.27
folia,0,0.218,0.5,0.27
folie,0,0.243,0.59,0.29
folio,1,0.488,1.25,0.56
folky,0,0.77,2.01,0.87
folly,1,0.64,1.5,0.78
fomes,0,0.32,0.84,0.36
fondu,0,0.68,1.8,0.76
fonly,0,0.098,0.2,0.13
foody,0,0.623,1.79,0.65
foots,0,0.497,1.21,0.59
footy,0,0.565,1.41,0.66
foppy,0,0.768,1.91,0.9
foray,1,0.467,1.18,0.54
forby,0,0.107,0.13,0.17
force,1,0.98,2.94,0.98
fordo,0,0.198,0.53,0.22
fordy,0,0.257,0.49,0.35
forel,0,0.288,0.8,0.31
forge,1,0.813,2.06,0.94
forgo,1,0.697,1.72,0.82
forky,0,0.515,1.29,0.6
forme,0,0.388,1.04,0.43
formy,0,0.28,0.6,0.36
forte,1,0.585,1.62,0.63
forth,1,0.56,1.56,0.6
forty,1,0.967,2.83,0.99
forum,1,0.808,2.06,0.93
fosie,0,0.098,0.2,0.13
fossa,0,0.18,0.57,0.17
fosse,0,0.417,1.12,0.46
fotch,0,0.277,0.61,0.35
fotui,0,0.1,0.24,0.12
found,1,0.983,2.96,0.98
fount,0,0.768,1.88,0.91
foute,0,0.14,0.39,0.15
fouth,0,0.288,0.8,0.31
fovea,0,0.247,0.67,0.27
foxer,0,0.182,0.28,0.27
foyer,1,0.77,1.98,0.88
frack,0,0.667,1.84,0.72
fraid,0,0.788,1.94,0.93
fraik,0,0.067,0.13,0.09
frail,1,0.77,1.98,0.88
frame,1,0.982,2.95,0.98
franc,0,0.688,1.73,0.8
frank,1,0.97,2.88,0.98
frase,0,0.243,0.71,0.25
frass,0,0.107,0.22,0.14
fraud,1,0.875,2.34,0.97
frawn,0,0.222,0.49,0.28
frayn,0,0.378,1.13,0.38
fraze,0,0.185,0.63,0.16
freak,1,0.882,2.38,0.97
fream,0,0.107,0.22,0.14
freck,0,0.497,1.15,0.61
freed,1,0.93,2.7,0.96
freer,1,0.895,2.55,0.94
freet,0,0.135,0.27,0.18
freir,0,0.102,0.22,0.13
freit,0,0.195,0.57,0.2
fremd,0,0.135,0.21,0.2
fresh,1,0.995,3.0,0.99
frett,0,0.61,1.68,0.66
friar,1,0.61,1.41,0.75
fried,1,0.985,2.97,0.98
frier,0,0.348,0.89,0.4
frike,0,0.193,0.44,0.24
frill,1,0.733,1.88,0.84
frisk,1,0.77,1.98,0.88
frist,0,0.485,1.32,0.53
frith,0,0.202,0.46,0.25
fritt,0,0.217,0.52,0.26
fritz,1,0.535,1.29,0.64
frize,0,0.195,0.45,0.24
frizz,0,0.845,2.34,0.91
frock,1,0.598,1.4,0.73
frond,1,0.47,1.23,0.53
front,1,0.99,3.0,0.98
froom,0,0.142,0.25,0.2
frore,0,0.172,0.34,0.23
frory,0,0.098,0.17,0.14
frosh,0,0.6,1.62,0.66
frost,1,0.947,2.74,0.98
froth,1,0.813,2.12,0.92
frowl,0,0.325,0.75,0.4
frown,1,0.96,2.82,0.98
frowy,0,0.113,0.2,0.16
froze,1,0.965,2.85,0.98
fruit,1,0.995,3.0,0.99
frump,0,0.585,1.5,0.67
frush,0,0.105,0.21,0.14
fryer,0,0.93,2.7,0.96
fubby,0,0.53,1.26,0.64
fubsy,0,0.188,0.44,0.23
fucus,0,0.282,0.73,0.32
fuder,0,0.153,0.29,0.21
fudge,1,0.85,2.19,0.97
fudgy,0,0.83,2.16,0.94
fuffy,0,0.892,2.47,0.96
fugal,0,0.217,0.52,0.26
fuggy,0,0.798,2.09,0.9
fugle,0,0.105,0.21,0.14
fugue,1,0.415,1.05,0.48
fully,1,0.97,2.88,0.98
fulth,0,0.108,0.2,0.15
fulwa,0,0.045,0.06,0.07
fumer,0,0.395,1.17,0.4
fumet,0,0.225,0.57,0.26
fundi,0,0.153,0.38,0.18
funds,0,0.972,2.89,0.98
fungi,1,0.748,1.82,0.89
fungo,0,0.233,0.56,0.28
funis,0,0.123,0.17,0.19
funky,1,0.843,2.21,0.95
funny,1,0.993,2.99,0.99
fural,0,0.09,0.15,0.13
furan,0,0.155,0.27,0.22
furca,0,0.105,0.15,0.16
furil,0,0.055,0.06,0.09
furor,1,0.568,1.43,0.66
furry,1,0.917,2.59,0.97
furyl,0,0.143,0.29,0.19
furze,0,0.163,0.35,0.21
furzy,0,0.23,0.54,0.28
fused,0,0.82,2.13,0.93
fusee,0,0.263,0.62,0.32
fusht,0,0.072,0.1,0.11
fusil,0,0.2,0.51,0.23
fussy,1,0.917,2.62,0.96
fusty,0,0.55,1.35,0.65
futwa,0,0.077,0.19,0.09
fuzzy,1,0.895,2.52,0.95
gabby,0,0.827,2.2,0.92
gable,0,0.618,1.52,0.73
gaddi,0,0.072,0.13,0.1
gadge,0,0.887,2.53,0.93
gadid,0,0.102,0.19,0.14
gaffe,1,0.663,1.76,0.74
gagee,0,0.152,0.28,0.21
gager,0,0.252,0.58,0.31
gagor,0,0.113,0.23,0.15
gaily,1,0.513,1.07,0.67
gaine,0,0.72,1.83,0.83
gains,0,0.953,2.84,0.96
gaize,0,0.108,0.2,0.15
galah,0,0.198,0.56,0.21
galea,0,0.102,0.19,0.14
galee,0,0.165,0.33,0.22
galet,0,0.118,0.26,0.15
galey,0,0.587,1.48,0.68
galla,0,0.445,1.17,0.5
gally,0,0.457,1.09,0.55
galop,0,0.505,1.38,0.55
gamba,0,0.282,0.82,0.29
gamer,1,0.858,2.27,0.96
gamic,0,0.103,0.2,0.14
gamin,0,0.25,0.66,0.28
gamma,1,0.653,1.55,0.79
gammy,0,0.282,0.73,0.32
gamut,1,0.457,1.21,0.51
ganam,0,0.092,0.19,0.12
ganch,0,0.158,0.41,0.18
ganef,0,0.312,0.64,0.41
ganga,0,0.445,1.2,0.49
gange,0,0.317,0.82,0.36
ganja,0,0.438,1.22,0.47
gansy,0,0.16,0.27,0.23
ganta,0,0.157,0.37,0.19
ganza,0,0.12,0.27,0.15
gaper,0,0.532,1.42,0.59
gapes,0,0.753,1.97,0.85
gappy,0,0.703,1.88,0.78
garad,0,0.133,0.38,0.14
garce,0,0.093,0.2,0.12
gardy,0,0.13,0.24,0.18
gareh,0,0.07,0.12,0.1
garle,0,0.197,0.55,0.21
garoo,0,0.312,0.85,0.34
garse,0,0.175,0.42,0.21
garth,0,0.503,1.19,0.61
garum,0,0.087,0.19,0.11
gashy,0,0.362,0.85,0.44
gaspy,0,0.647,1.57,0.77
gassy,1,0.868,2.42,0.93
gatch,0,0.208,0.47,0.26
gated,0,0.8,2.19,0.87
gater,0,0.602,1.6,0.67
gator,0,0.858,2.33,0.94
gauby,0,0.073,0.08,0.12
gaudy,1,0.702,1.78,0.81
gauge,1,0.825,2.16,0.93
gault,0,0.278,0.68,0.33
gaumy,0,0.193,0.53,0.21
gaunt,1,0.608,1.52,0.71
gauss,0,0.435,0.96,0.55
gauze,1,0.692,1.78,0.79
gauzy,0,0.54,1.47,0.59
gavel,1,0.7,1.77,0.81
gawby,0,0.225,0.51,0.28
gawky,1,0.563,1.46,0.64
gayal,0,0.083,0.14,0.12
gayer,1,0.432,1.09,0.5
gayly,1,0.448,0.86,0.61
gazee,0,0.29,0.57,0.39
gazel,0,0.303,0.89,0.31
gazer,1,0.65,1.62,0.76
gazon,0,0.2,0.54,0.22
gease,0,0.215,0.48,0.27
gebur,0,0.06,0.09,0.09
gecko,1,0.675,1.62,0.81
geeky,1,0.832,2.2,0.93
geese,1,0.927,2.65,0.97
geest,0,0.168,0.44,0.19
geira,0,0.062,0.07,0.1
gelid,0,0.295,0.96,0.27
gelly,0,0.598,1.49,0.7
gemel,0,0.1,0.18,0.14
gemma,0,0.555,1.35,0.66
gemmy,0,0.407,1.09,0.45
gemot,0,0.08,0.12,0.12
gemul,0,0.057,0.07,0.09
genal,0,0.085,0.12,0.13
genep,0,0.147,0.31,0.19
genet,0,0.25,0.6,0.3
genic,0,0.275,0.66,0.33
genie,1,0.8,1.98,0.94
genii,0,0.285,0.72,0.33
genin,0,0.095,0.18,0.13
genip,0,0.153,0.41,0.17
genom,0,0.42,0.93,0.53
genos,0,0.127,0.19,0.19
genre,1,0.812,2.11,0.92
genro,0,0.085,0.15,0.12
genty,0,0.123,0.2,0.18
genua,0,0.188,0.38,0.25
genus,0,0.475,1.14,0.57
genys,0,0.067,0.1,0.1
geode,0,0.433,1.1,0.5
geoid,0,0.133,0.35,0.15
geoty,0,0.128,0.26,0.17
gerah,0,0.087,0.22,0.1
gerbe,0,0.21,0.6,0.22
gerim,0,0.07,0.12,0.1
gerip,0,0.103,0.2,0.14
germy,0,0.798,2.18,0.87
gesso,0,0.223,0.62,0.24
geste,0,0.312,0.94,0.31
getah,0,0.112,0.25,0.14
getup,0,0.743,2.09,0.79
geyan,0,0.183,0.38,0.24
ghazi,0,0.158,0.47,0.16
ghoom,0,0.138,0.38,0.15
ghost,1,0.935,2.67,0.98
ghoul,1,0.73,1.77,0.87
giant,1,0.923,2.6,0.98
gibby,0,0.493,1.25,0.57
gibel,0,0.168,0.38,0.21
giber,0,0.215,0.57,0.24
gibus,0,0.107,0.22,0.14
giddy,1,0.748,1.91,0.86
gigot,0,0.157,0.43,0.17
gilia,0,0.087,0.13,0.13
gilim,0,0.052,0.07,0.08
gilly,0,0.453,1.19,0.51
gilpy,0,0.137,0.34,0.16
gilse,0,0.14,0.3,0.18
gimel,0,0.102,0.13,0.16
ginny,0,0.792,2.02,0.91
gipon,0,0.045,0.03,0.08
gipsy,1,0.7,1.68,0.84
girba,0,0.058,0.08,0.09
girly,1,0.89,2.46,0.96
girny,0,0.07,0.09,0.11
girse,0,0.133,0.26,0.18
girsh,0,0.163,0.35,0.21
girth,1,0.595,1.53,0.68
gisla,0,0.077,0.13,0.11
given,1,0.98,2.94,0.98
giver,1,0.902,2.53,0.96
givey,0,0.228,0.53,0.28
glace,0,0.287,0.82,0.3
glack,0,0.115,0.18,0.17
glade,1,0.635,1.5,0.77
glady,0,0.507,1.09,0.65
glaga,0,0.065,0.12,0.09
glaik,0,0.057,0.1,0.08
glair,0,0.175,0.42,0.21
glaky,0,0.053,0.08,0.08
gland,1,0.79,2.01,0.91
glans,0,0.26,0.6,0.32
glare,1,0.838,2.21,0.94
glary,0,0.508,1.34,0.57
glass,1,0.995,3.0,0.99
glaum,0,0.073,0.11,0.11
glaur,0,0.073,0.11,0.11
glaze,1,0.793,2.03,0.91
glazy,0,0.572,1.45,0.66
gleam,1,0.77,1.92,0.9
glean,1,0.472,1.21,0.54
gleba,0,0.062,0.1,0.09
glebe,0,0.267,0.97,0.21
glede,0,0.207,0.34,0.3
gledy,0,0.118,0.2,0.17
gleed,0,0.12,0.24,0.16
gleek,0,0.26,0.78,0.26
gleet,0,0.15,0.27,0.21
glent,0,0.21,0.48,0.26
glial,0,0.122,0.34,0.13
glide,1,0.863,2.33,0.95
gliff,0,0.127,0.25,0.17
glime,0,0.303,0.98,0.28
glink,0,0.148,0.32,0.19
glint,1,0.762,1.93,0.88
glisk,0,0.093,0.17,0.13
gloam,0,0.285,0.66,0.35
gloat,1,0.597,1.51,0.69
globe,1,0.958,2.81,0.98
globy,0,0.21,0.66,0.2
gloea,0,0.063,0.08,0.1
glome,0,0.112,0.22,0.15
gloom,1,0.828,2.12,0.95
glore,0,0.11,0.21,0.15
glory,1,0.857,2.2,0.98
gloss,1,0.78,1.98,0.9
glost,0,0.123,0.2,0.18
glout,0,0.357,0.85,0.43
glove,1,0.983,2.96,0.98
gloze,0,0.188,0.44,0.23
gluck,0,0.335,0.96,0.35
glued,0,0.957,2.83,0.97
gluer,0,0.783,2.06,0.88
gluey,0,0.557,1.45,0.63
gluma,0,0.082,0.19,0.1
glume,0,0.182,0.43,0.22
glump,0,0.317,0.88,0.34
glyph,1,0.397,1.12,0.42
gnarl,0,0.623,1.55,0.73
gnash,1,0.662,1.66,0.77
gnawn,0,0.675,1.65,0.8
gnome,1,0.552,1.3,0.67
goaty,0,0.495,1.29,0.56
goave,0,0.083,0.2,0.1
goban,0,0.093,0.2,0.12
gobbe,0,0.21,0.39,0.29
gobby,0,0.38,1.05,0.41
godet,0,0.112,0.25,0.14
godly,1,0.712,1.72,0.85
goety,0,0.105,0.18,0.15
gogga,0,0.227,0.64,0.24
going,1,0.995,3.0,0.99
goldy,0,0.503,1.34,0.56
golee,0,0.18,0.45,0.21
golem,1,0.403,1.13,0.43
golly,1,0.607,1.3,0.78
goloe,0,0.11,0.24,0.14
golpe,0,0.37,1.08,0.38
gomer,0,0.365,0.99,0.4
gonad,1,0.345,1.05,0.34
gonal,0,0.152,0.28,0.21
goner,1,0.765,1.95,0.88
gonia,0,0.113,0.2,0.16
gonid,0,0.068,0.08,0.11
gonne,0,0.348,0.77,0.44
gonys,0,0.063,0.08,0.1
goods,0,0.965,2.85,0.98
goody,1,0.76,1.89,0.89
gooey,1,0.828,2.24,0.91
goofy,1,0.902,2.5,0.97
gools,0,0.192,0.49,0.22
gooma,0,0.108,0.2,0.15
goose,1,0.947,2.74,0.98
goosy,0,0.842,2.2,0.95
goral,0,0.15,0.39,0.17
goran,0,0.138,0.26,0.19
gorce,0,0.15,0.27,0.21
gorer,0,0.312,0.79,0.36
gorge,1,0.743,1.82,0.88
goric,0,0.072,0.1,0.11
gorra,0,0.123,0.26,0.16
gorry,0,0.188,0.44,0.23
gorse,0,0.318,0.92,0.33
gorsy,0,0.133,0.26,0.18
gossy,0,0.603,1.55,0.69
gotch,0,0.497,1.39,0.53
gotra,0,0.093,0.17,0.13
gouge,1,0.705,1.83,0.8
goumi,0,0.065,0.12,0.09
gourd,1,0.552,1.39,0.64
gouty,0,0.382,1.03,0.42
gowan,0,0.268,0.62,0.33
goyim,0,0.137,0.43,0.13
goyin,0,0.098,0.2,0.13
goyle,0,0.283,0.71,0.33
grace,1,0.932,2.65,0.98
grade,1,0.983,2.96,0.98
graff,0,0.603,1.61,0.67
graft,1,0.71,1.83,0.81
grail,1,0.548,1.31,0.66
grain,1,0.933,2.69,0.97
graip,0,0.162,0.31,0.22
grama,0,0.385,1.17,0.38
grame,0,0.448,1.28,0.47
gramp,0,0.725,1.95,0.8
grand,1,0.963,2.84,0.98
grane,0,0.128,0.29,0.16
grank,0,0.197,0.43,0.25
grano,0,0.228,0.5,0.29
grant,1,0.878,2.36,0.97
grape,1,0.962,2.83,0.98
graph,1,0.923,2.63,0.97
grapy,0,0.113,0.23,0.15
grasp,1,0.938,2.72,0.97
grass,1,0.995,3.0,0.99
grate,1,0.883,2.45,0.95
grave,1,0.868,2.3,0.97
gravy,1,0.933,2.69,0.97
graze,1,0.787,2.02,0.9
great,1,0.995,3.0,0.99
grebe,0,0.263,0.77,0.27
grece,0,0.438,1.19,0.48
greed,1,0.873,2.33,0.97
green,1,0.995,3.0,0.99
greet,1,0.903,2.54,0.96
grege,0,0.078,0.17,0.1
grego,0,0.29,0.63,0.37
grein,0,0.075,0.12,0.11
grice,0,0.238,0.5,0.31
gride,0,0.45,1.14,0.52
grief,1,0.84,2.13,0.97
griff,0,0.533,1.4,0.6
grift,0,0.525,1.53,0.54
grike,0,0.095,0.15,0.14
grill,1,0.96,2.85,0.97
grime,1,0.857,2.32,0.94
grimp,0,0.327,1.18,0.26
grimy,1,0.813,2.12,0.92
grind,1,0.958,2.84,0.97
gripe,1,0.935,2.73,0.96
gripy,0,0.493,1.19,0.59
grist,0,0.408,1.16,0.43
grith,0,0.108,0.2,0.15
grits,0,0.71,1.8,0.82
groan,1,0.962,2.83,0.98
groat,0,0.268,0.65,0.32
groff,0,0.232,0.52,0.29
groin,1,0.792,2.02,0.91
groom,1,0.832,2.11,0.96
groop,0,0.298,0.74,0.35
groot,0,0.497,1.21,0.59
grope,1,0.82,2.07,0.95
gross,1,0.967,2.89,0.97
grosz,0,0.073,0.08,0.12
grouf,0,0.195,0.51,0.22
group,1,0.988,2.99,0.98
grout,1,0.653,1.64,0.76
grove,1,0.808,2.03,0.94
grovy,0,0.372,0.85,0.46
growl,1,0.95,2.76,0.98
grown,1,0.98,2.94,0.98
grubs,0,0.702,1.72,0.83
gruel,1,0.522,1.24,0.63
gruff,1,0.785,1.98,0.91
grume,0,0.208,0.5,0.25
grump,0,0.868,2.36,0.95
grunt,1,0.893,2.45,0.97
grush,0,0.102,0.19,0.14
gruss,0,0.072,0.07,0.12
gryde,0,0.078,0.14,0.11
guaba,0,0.155,0.45,0.16
guaco,0,0.103,0.26,0.12
guaka,0,0.072,0.13,0.1
guama,0,0.31,0.96,0.3
guana,0,0.335,1.05,0.32
guano,0,0.4,1.08,0.44
guara,0,0.115,0.3,0.13
guard,1,0.973,2.9,0.98
guasa,0,0.083,0.14,0.12
guava,1,0.493,1.34,0.54
guaza,0,0.063,0.08,0.1
gubbo,0,0.09,0.15,0.13
gucki,0,0.07,0.09,0.11
gudge,0,0.158,0.29,0.22
gudok,0,0.07,0.12,0.1
guess,1,0.99,3.0,0.98
guest,1,0.98,2.94,0.98
guffy,0,0.52,1.44,0.56
gugal,0,0.088,0.2,0.11
guiba,0,0.067,0.16,0.08
guide,1,0.975,2.91,0.98
guige,0,0.093,0.26,0.1
guijo,0,0.048,0.05,0.08
guild,1,0.73,1.74,0.88
guile,1,0.423,1.16,0.46
guilt,1,0.952,2.77,0.98
guily,0,0.433,1.16,0.48
guise,1,0.582,1.45,0.68
gulae,0,0.135,0.24,0.19
gular,0,0.187,0.34,0.26
gulch,1,0.557,1.42,0.64
gules,0,0.062,0.04,0.11
gulfy,0,0.295,0.54,0.41
gulix,0,0.053,0.05,0.09
gully,1,0.692,1.81,0.78
gulpy,0,0.668,1.73,0.76
gumbo,1,0.662,1.66,0.77
gumby,0,0.647,1.48,0.8
gumly,0,0.308,0.8,0.35
gumma,0,0.373,0.8,0.48
gummy,1,0.912,2.59,0.96
gundi,0,0.138,0.41,0.14
gundy,0,0.427,1.18,0.46
gunge,0,0.36,1.11,0.35
gunne,0,0.235,0.48,0.31
gunny,0,0.365,0.99,0.4
guppy,1,0.517,1.3,0.6
gurge,0,0.43,1.17,0.47
gurly,0,0.2,0.39,0.27
gurry,0,0.26,0.6,0.32
gushy,0,0.637,1.69,0.71
gusla,0,0.05,0.06,0.08
gusle,0,0.048,0.05,0.08
gusto,1,0.628,1.73,0.68
gusty,1,0.772,1.99,0.88
gutta,0,0.188,0.47,0.22
gutte,0,0.147,0.34,0.18
gutti,0,0.092,0.19,0.12
gutty,0,0.748,1.91,0.86
guyer,0,0.535,1.32,0.63
gweed,0,0.1,0.15,0.15
gwely,0,0.057,0.07,0.09
gwine,0,0.178,0.23,0.28
gymel,0,0.095,0.15,0.14
gynic,0,0.175,0.27,0.26
gypsy,1,0.762,1.87,0.9
gyral,0,0.108,0.2,0.15
gyric,0,0.097,0.16,0.14
gyron,0,0.132,0.28,0.17
gyrus,0,0.263,0.8,0.26
habit,1,0.972,2.92,0.97
hache,0,0.137,0.31,0.17
hacky,0,0.68,1.8,0.76
haddo,0,0.298,0.83,0.32
hadji,0,0.275,0.87,0.26
hafiz,0,0.2,0.6,0.2
haggy,0,0.243,0.53,0.31
hagia,0,0.23,0.63,0.25
haily,0,0.255,0.51,0.34
haine,0,0.283,0.77,0.31
haire,0,0.228,0.38,0.33
hairy,1,0.952,2.8,0.97
hajib,0,0.078,0.17,0.1
hakam,0,0.073,0.11,0.11
hakim,0,0.265,0.75,0.28
halal,0,0.533,1.52,0.56
halch,0,0.073,0.14,0.1
haler,0,0.535,1.44,0.59
halma,0,0.262,0.67,0.3
halse,0,0.295,0.72,0.35
halve,1,0.903,2.54,0.96
hamal,0,0.13,0.3,0.16
hamel,0,0.265,0.66,0.31
hammy,0,0.765,1.95,0.88
hamsa,0,0.143,0.32,0.18
hamus,0,0.13,0.27,0.17
hamza,0,0.17,0.45,0.19
hance,0,0.45,1.35,0.45
hanch,0,0.098,0.23,0.12
handy,1,0.973,2.9,0.98
hange,0,0.347,0.97,0.37
hanif,0,0.153,0.41,0.17
hanky,0,0.795,2.01,0.92
hanna,0,0.79,2.04,0.9
hansa,0,0.263,0.71,0.29
hanse,0,0.258,0.71,0.28
haole,0,0.205,0.57,0.22
haoma,0,0.055,0.06,0.09
haori,0,0.148,0.53,0.12
haply,0,0.242,0.55,0.3
happy,1,0.995,3.0,0.99
harbi,0,0.115,0.24,0.15
hardy,1,0.877,2.44,0.94
harem,1,0.683,1.64,0.82
harka,0,0.112,0.31,0.12
harpy,1,0.567,1.33,0.69
harry,1,0.913,2.54,0.98
harsh,1,0.908,2.54,0.97
hasan,0,0.342,0.82,0.41
hashy,0,0.392,1.06,0.43
hasky,0,0.588,1.58,0.65
hasta,0,0.307,0.73,0.37
haste,1,0.82,2.1,0.94
hasty,1,0.827,2.14,0.94
hatch,1,0.832,2.2,0.93
hater,1,0.922,2.65,0.96
hathi,0,0.138,0.32,0.17
hatty,0,0.512,1.24,0.61
haugh,0,0.17,0.33,0.23
hauld,0,0.792,2.08,0.89
haulm,0,0.092,0.16,0.13
haunt,1,0.808,2.03,0.94
hause,0,0.285,0.96,0.25
haute,1,0.442,1.24,0.47
havel,0,0.257,0.64,0.3
haven,1,0.835,2.16,0.95
haver,0,0.802,2.29,0.84
havoc,1,0.81,2.04,0.94
hawer,0,0.127,0.22,0.18
hawky,0,0.628,1.64,0.71
hawok,0,0.095,0.15,0.14
hawse,0,0.135,0.3,0.17
hayey,0,0.402,0.97,0.48
hazel,1,0.81,2.07,0.93
hazen,0,0.293,0.68,0.36
hazer,0,0.56,1.38,0.66
hazle,0,0.61,1.53,0.71
heady,1,0.627,1.63,0.71
heald,0,0.348,0.89,0.4
heaps,0,0.872,2.38,0.95
heapy,0,0.562,1.3,0.69
heard,1,0.993,2.99,0.99
heart,1,0.995,3.0,0.99
heath,1,0.797,1.96,0.94
heave,1,0.775,1.98,0.89
heavy,1,0.99,3.0,0.98
hecte,0,0.14,0.33,0.17
heder,0,0.112,0.22,0.15
hedge,1,0.882,2.41,0.96
hedgy,0,0.375,1.02,0.41
heedy,0,0.348,0.89,0.4
heeze,0,0.143,0.26,0.2
heezy,0,0.342,0.94,0.37
hefty,1,0.758,1.94,0.87
heiau,0,0.057,0.07,0.09
heigh,0,0.675,1.53,0.84
heist,1,0.798,2.0,0.93
helio,0,0.26,0.63,0.31
helix,1,0.658,1.58,0.79
hello,1,0.995,3.0,0.99
helly,0,0.28,0.69,0.33
heloe,0,0.172,0.46,0.19
helve,0,0.142,0.31,0.18
hemad,0,0.065,0.12,0.09
hemal,0,0.105,0.21,0.14
hemen,0,0.193,0.68,0.16
hemic,0,0.125,0.24,0.17
hemin,0,0.087,0.16,0.12
hemol,0,0.09,0.12,0.14
hempy,0,0.23,0.51,0.29
henad,0,0.08,0.12,0.12
hence,1,0.717,1.66,0.88
henna,0,0.61,1.56,0.7
henny,0,0.467,1.18,0.54
henry,0,0.902,2.5,0.97
hepar,0,0.14,0.24,0.2
herby,0,0.752,1.93,0.86
herem,0,0.068,0.08,0.11
herma,0,0.128,0.2,0.19
herne,0,0.26,0.66,0.3
heron,1,0.695,1.56,0.87
herse,0,0.41,0.99,0.49
hertz,0,0.595,1.5,0.69
heuau,0,0.083,0.23,0.09
heugh,0,0.152,0.28,0.21
hewel,0,0.163,0.41,0.19
hewer,0,0.305,0.72,0.37
hexad,0,0.13,0.24,0.18
hexer,0,0.387,0.91,0.47
hexis,0,0.08,0.15,0.11
hexyl,0,0.145,0.3,0.19
hiant,0,0.075,0.09,0.12
hiate,0,0.167,0.34,0.22
hided,0,0.955,2.82,0.97
hider,0,0.78,2.04,0.88
hield,0,0.385,0.81,0.5
hight,0,0.215,0.42,0.29
hiker,0,0.853,2.21,0.97
hilch,0,0.088,0.2,0.11
hilly,1,0.862,2.35,0.94
hilsa,0,0.103,0.17,0.15
hilum,0,0.162,0.4,0.19
hilus,0,0.257,0.55,0.33
hinau,0,0.042,0.04,0.07
hinch,0,0.298,0.86,0.31
hinge,1,0.942,2.74,0.97
hinny,0,0.297,0.88,0.3
hiper,0,0.153,0.29,0.21
hippo,1,0.808,2.0,0.95
hippy,1,0.77,1.89,0.91
hired,0,0.975,2.91,0.98
hirer,0,0.623,1.7,0.68
hirse,0,0.398,1.01,0.46
hitch,1,0.863,2.36,0.94
hithe,0,0.177,0.37,0.23
hiver,0,0.21,0.63,0.21
hives,0,0.795,2.01,0.92
hoard,1,0.807,2.05,0.93
hoary,0,0.357,1.0,0.38
hoast,0,0.533,1.4,0.6
hobby,1,0.962,2.83,0.98
hocco,0,0.225,0.6,0.25
hocky,0,0.847,2.2,0.96
hocus,0,0.56,1.41,0.65
hoddy,0,0.245,0.51,0.32
hogan,0,0.477,1.18,0.56
hoggy,0,0.423,1.01,0.51
hoick,0,0.173,0.47,0.19
hoise,0,0.178,0.38,0.23
hoist,1,0.712,1.81,0.82
hokey,0,0.79,2.04,0.9
hokum,0,0.343,0.98,0.36
holer,0,0.433,1.13,0.49
holey,0,0.738,1.85,0.86
holia,0,0.11,0.18,0.16
holla,0,0.717,1.9,0.8
hollo,0,0.775,2.04,0.87
holly,1,0.873,2.33,0.97
homer,1,0.808,2.03,0.94
homey,0,0.692,1.75,0.8
honda,0,0.825,2.19,0.92
hondo,0,0.38,1.05,0.41
honey,1,0.993,2.99,0.99
honor,1,0.908,2.51,0.98
hooch,0,0.498,1.22,0.59
hooey,0,0.683,1.76,0.78
hoofs,0,0.815,2.13,0.92
hoofy,0,0.33,0.81,0.39
hooky,0,0.652,1.66,0.75
hooly,0,0.24,0.54,0.3
hoose,0,0.4,0.9,0.5
hoosh,0,0.285,0.78,0.31
hoove,0,0.492,1.03,0.64
hoped,0,0.968,2.87,0.98
hoper,0,0.465,1.23,0.52
hoppy,0,0.738,1.91,0.84
horal,0,0.153,0.41,0.17
horde,1,0.692,1.72,0.81
horme,0,0.127,0.28,0.16
horny,1,0.87,2.34,0.96
horse,1,0.982,2.92,0.99
horst,0,0.243,0.68,0.26
horsy,0,0.577,1.27,0.73
hosed,0,0.8,2.1,0.9
hosel,0,0.59,1.62,0.64
hotch,0,0.408,1.04,0.47
hotel,1,0.967,2.86,0.98
hotly,1,0.813,2.18,0.9
hough,0,0.365,0.84,0.45
hound,1,0.822,2.05,0.96
houri,0,0.252,0.79,0.24
house,1,0.995,3.0,0.99
housy,0,0.142,0.28,0.19
hovel,1,0.487,1.15,0.59
hoven,0,0.133,0.2,0.2
hover,1,0.84,2.22,0.94
howdy,1,0.76,1.83,0.91
howel,0,0.455,1.11,0.54
howff,0,0.12,0.15,0.19
howso,0,0.19,0.36,0.26
hoyle,0,0.458,1.16,0.53
huaca,0,0.052,0.07,0.08
huaco,0,0.073,0.11,0.11
hubba,0,0.492,1.45,0.5
hubby,0,0.87,2.4,0.94
hucho,0,0.083,0.2,0.1
huffy,0,0.562,1.63,0.58
hulky,0,0.64,1.59,0.75
human,1,0.992,2.98,0.99
humbo,0,0.26,0.63,0.31
humet,0,0.083,0.14,0.12
humic,0,0.17,0.42,0.2
humid,1,0.892,2.53,0.94
humin,0,0.148,0.29,0.2
humor,1,0.955,2.79,0.98
